"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
102,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",102,"Grenier","Commune","Commune",NA,NA
103,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",103,"Kenscoff","Commune","Commune",NA,NA
104,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",104,"Pétion-Ville","Commune","Commune",NA,NA
105,99,"HTI","Haiti",8,"Ouest",33,"Port-au-Prince",105,"Port-au-Prince","Commune","Commune",NA,NA
106,99,"HTI","Haiti",9,"Sud-Est",34,"Bainet",106,"Bainet","Commune","Commune",NA,NA
107,99,"HTI","Haiti",9,"Sud-Est",34,"Bainet",107,"Côtes-de-Fer","Commune","Commune",NA,NA
108,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse",108,"Anse-à-Pitre","Commune","Commune",NA,NA
109,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse",109,"Belle-Anse","Commune","Commune",NA,NA
110,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse",110,"Grand Gosier","Commune","Commune",NA,NA
111,99,"HTI","Haiti",9,"Sud-Est",35,"Belle-Anse",111,"Thiotte","Commune","Commune",NA,NA
112,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel",112,"Cayes-Jacmel","Commune","Commune",NA,"Cap-Haïtien"
113,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel",113,"Cayes Jacmel","Commune","Commune",NA,NA
114,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel",114,"Jacmel","Commune","Commune",NA,NA
115,99,"HTI","Haiti",9,"Sud-Est",36,"Jacmel",115,"Marigot","Commune","Commune",NA,NA
116,99,"HTI","Haiti",10,"Sud",37,"Aquin",116,"Aquin","Commune","Commune",NA,NA
117,99,"HTI","Haiti",10,"Sud",37,"Aquin",117,"Cavaillon","Commune","Commune",NA,NA
118,99,"HTI","Haiti",10,"Sud",37,"Aquin",118,"Saint-Jean du Sud","Commune","Commune",NA,NA
119,99,"HTI","Haiti",10,"Sud",37,"Aquin",119,"Saint-Louis du Sud","Commune","Commune",NA,NA
120,99,"HTI","Haiti",10,"Sud",38,"les Côteaux",120,"Côteaux","Commune","Commune",NA,NA
121,99,"HTI","Haiti",10,"Sud",38,"les Côteaux",121,"Port-A-Piment","Commune","Commune",NA,NA
122,99,"HTI","Haiti",10,"Sud",38,"les Côteaux",122,"Roche-à-Bateau","Commune","Commune",NA,NA
123,99,"HTI","Haiti",10,"Sud",39,"les Cayes",123,"Camp Perrin","Commune","Commune",NA,NA
124,99,"HTI","Haiti",10,"Sud",39,"les Cayes",124,"Chantal","Commune","Commune",NA,NA
125,99,"HTI","Haiti",10,"Sud",39,"les Cayes",125,"Ile à Vache","Commune","Commune",NA,NA
126,99,"HTI","Haiti",10,"Sud",39,"les Cayes",126,"Les Cayes","Commune","Commune",NA,NA
127,99,"HTI","Haiti",10,"Sud",39,"les Cayes",127,"Maniche","Commune","Commune",NA,NA
128,99,"HTI","Haiti",10,"Sud",39,"les Cayes",128,"Torbeck","Commune","Commune",NA,NA
129,99,"HTI","Haiti",10,"Sud",40,"les Chardonnières",129,"Chardonnières","Commune","Commune",NA,NA
130,99,"HTI","Haiti",10,"Sud",40,"les Chardonnières",130,"Les Anglais","Commune","Commune",NA,NA
131,99,"HTI","Haiti",10,"Sud",40,"les Chardonnières",131,"Tiburon","Commune","Commune",NA,NA
132,99,"HTI","Haiti",10,"Sud",41,"Port-Salut",132,"Arniquet","Commune","Commune",NA,NA
133,99,"HTI","Haiti",10,"Sud",41,"Port-Salut",133,"Port-Salut","Commune","Commune",NA,NA
134,99,"HTI","Haiti",10,"Sud",41,"Port-Salut",134,"Saint-Jean du Sud","Commune","Commune",NA,NA
